Date,Time,Location,CO,SO2,NO2,O3,PM2.5,PM10,AQI,AQI Category
12/2/2024,0:00,Dewanhat,0.326,4,15,27,14,39,55,Moderate
12/2/2024,6:00,Dewanhat,0.298,5.67,7,38,11,27,46,Good
12/2/2024,12:00,Dewanhat,0.29,6.12,27,47,8,25,44,Good
12/2/2024,18:00,Dewanhat,0.304,5,21,42,10,34,42,Good
12/2/2024,0:00,Anderkilla,0.331,3.9,18,27,14.6,37,56,Moderate
12/2/2024,6:00,Anderkilla,0.342,5.1,6.82,29,17,36,61,Moderate
12/2/2024,12:00,Anderkilla,0.303,4.8,7.64,37,13,27,53,Moderate
12/2/2024,18:00,Anderkilla,0.29,5.5,29,46,10,25,43,Good
12/2/2024,0:00,Kotowali,0.378,4.96,9,103.79,41.48,47.23,197,Unhealthy
12/2/2024,6:00,Kotowali,0.354,6.37,3.33,102.89,48.48,54.65,195,Unhealthy
12/2/2024,12:00,Kotowali,0.373,7.57,3.58,90.81,54.25,49.23,163,Unhealthy
12/2/2024,18:00,Kotowali,0.363,5.31,9.32,106.73,29.88,47.88,202,Very Unhealthy
12/2/2024,6:00,Bayejid,0.52,10.96,6.08,87.11,97.66,38.53,173,Unhealthy
12/2/2024,12:00,Bayejid,0.52,11.31,6.34,58.77,152.34,172.23,203,Very Unhealthy
12/2/2024,6:00,Bayejid,0.44,7.7,9.78,53.23,64.27,105.23,156,Unhealthy
12/2/2024,0:00,Bayejid,0.29,8.54,3.87,75.34,81.65,79.23,165,Unhealthy
12/2/2024,0:00,New Market,0.38,6.48,10.5,67.36,63.52,66.2,155,Unhealthy
12/2/2024,6:00,New Market,0.365,6.75,3.98,98.25,55.65,45.79,183,Unhealthy
12/2/2024,12:00,New Market,0.345,7.84,4.89,61.52,52.22,45.12,142,Unhealthy for Sensitive Groups
12/2/2024,18:00,New Market,0.325,5.68,9.38,98.12,35.28,49.82,182,Unhealthy
12/3/2024,0:00,Dewanhat,0.33,5,17,30,17,42,61,Moderate
12/3/2024,6:00,Dewanhat,0.27,3,9,34,9,32,38,Good
12/3/2024,12:00,Dewanhat,0.32,4,22,42,12,29,50,Good
12/3/2024,18:00,Dewanhat,0.3,6,28,29,11,40,46,Good
12/3/2024,0:00,Anderkilla,0.34,5.3,26.5,19,20,30,68,Moderate
12/3/2024,6:00,Anderkilla,0.36,6,23,16,25,35.5,78,Moderate
12/3/2024,12:00,Anderkilla,0.33,6,27.2,38,18,36,63,Moderate
12/3/2024,18:00,Anderkilla,0.35,4.3,31.3,29,19,38.7,66,Moderate
12/3/2024,0:00,Kotowali,0.34,7.52,10.3,10.17,49.08,47.16,134,Unhealthy for Sensitive Groups
12/3/2024,6:00,Kotowali,0.28,6.13,12.08,34.98,46.26,67.71,127,Unhealthy for Sensitive Groups
12/3/2024,12:00,Kotowali,0.32,7.12,10.22,17.78,54.63,53.54,148,Unhealthy for Sensitive Groups
12/3/2024,18:00,Kotowali,0.34,7.33,11.21,24.54,32.67,45.12,94,Moderate
12/3/2024,6:00,Bayejid,0.32,7.06,3.27,89.11,55.76,64.43,159,Unhealthy
12/3/2024,12:00,Bayejid,0.3,4.88,8.21,108.79,26.92,48.08,204,Very Unhealthy
12/3/2024,6:00,Bayejid,0.39,7.95,9.36,11.82,50.02,32.21,137,Unhealthy for Sensitive Groups
12/3/2024,0:00,Bayejid,0.44,7.99,11.07,51.94,56.63,51.83,152,Unhealthy
12/3/2024,0:00,New Market,0.35,6.24,12.5,24.98,46.26,35.65,127,Unhealthy for Sensitive Groups
12/3/2024,6:00,New Market,0.36,7.66,9.56,36.79,46.22,48.54,127,Unhealthy for Sensitive Groups
12/3/2024,12:00,New Market,0.38,6.48,10.5,67.36,59.12,54.85,153,Unhealthy
12/3/2024,18:00,New Market,0.43,6.73,12.45,28.3,32.65,58.36,94,Moderate
12/4/2024,0:00,Dewanhat,0.315,4.25,8.15,34.45,12.32,36.78,51,Moderate
12/4/2024,6:00,Dewanhat,0.32,4.6,15.34,31.25,9.54,28.67,40,Good
12/4/2024,12:00,Dewanhat,0.295,5.1,12.78,43.65,19.65,35.9,67,Moderate
12/4/2024,18:00,Dewanhat,0.348,6.05,18.35,40.12,28.45,48.12,85,Moderate
12/4/2024,0:00,Anderkilla,0.35,4.4,26.5,21,23.7,35,75,Moderate
12/4/2024,6:00,Anderkilla,0.34,4.5,29.8,17,25.6,27.5,79,Moderate
12/4/2024,12:00,Anderkilla,0.28,4.2,21.7,26,16.3,19.8,60,Moderate
12/4/2024,18:00,Anderkilla,0.25,3.6,29.8,42,14,35,55,Moderate
12/4/2024,0:00,Kotowali,0.32,4.2,14.67,48.81,48.17,35.16,132,Unhealthy for Sensitive Groups
12/4/2024,6:00,Kotowali,0.34,7.24,12.03,34.98,46.26,52.14,127,Unhealthy for Sensitive Groups
12/4/2024,12:00,Kotowali,0.31,3.53,6.18,45.13,41.1,35.33,115,Unhealthy for Sensitive Groups
12/4/2024,18:00,Kotowali,0.29,7.04,10.35,99.98,70.83,76.44,187,Unhealthy
12/4/2024,6:00,Bayejid,0.44,4.31,10.64,66.84,48.09,57.13,132,Unhealthy for Sensitive Groups
12/4/2024,12:00,Bayejid,0.34,7.75,8.43,61.51,44.57,42.23,123,Unhealthy for Sensitive Groups
12/4/2024,6:00,Bayejid,0.41,5.41,8.9,50.2,45.07,41.25,125,Unhealthy for Sensitive Groups
12/4/2024,0:00,Bayejid,0.38,7.99,8.05,73.05,61.48,55.35,154,Unhealthy
12/4/2024,0:00,New Market,0.31,4.5,28.96,26.38,70.21,35.12,159,Unhealthy
12/4/2024,6:00,New Market,0.35,4.21,29.85,25.98,51.25,21.12,140,Unhealthy for Sensitive Groups
12/4/2024,12:00,New Market,0.34,4.35,21.58,45.55,69.28,23.69,158,Unhealthy
12/4/2024,18:00,New Market,0.348,3.68,18.25,59.68,25.24,41.52,79,Moderate
12/5/2024,0:00,Dewanhat,0.39,5.4,29.34,37.12,14.32,36.78,56,Moderate
